#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
EFTUD2	PRPF8	1859618	1848629	9606.ENSP00000392094	9606.ENSP00000304350	0	0	0	0	0.291	0.984	0.900	0.554	0.999
PRPF4	SNRNP200	1856059	1849929	9606.ENSP00000363313	9606.ENSP00000317123	0	0	0	0	0.053	0.990	0.900	0.534	0.999
SNRPB	SNRPE	1860980	1860230	9606.ENSP00000412566	9606.ENSP00000400591	0	0	0	0	0.371	0.996	0.900	0.859	0.999
TAF6	TAF9	1860193	1842675	9606.ENSP00000399982	9606.ENSP00000217893	0	0	0	0	0.070	0.981	0.900	0.898	0.999
SETD1B	RBBP5	1845925	1845562	9606.ENSP00000267197	9606.ENSP00000264515	0	0	0	0	0.067	0.962	0.900	0.874	0.999
CDC5L	SNRPD2	1855491	1852586	9606.ENSP00000360532	9606.ENSP00000342374	0	0	0	0	0.059	0.989	0.900	0.209	0.999
SMARCD2	SMARCC2	1859660	1845915	9606.ENSP00000392617	9606.ENSP00000267064	0	0	0	0	0.105	0.930	0.900	0.887	0.999
TAF6	TAF5	1860193	1855115	9606.ENSP00000399982	9606.ENSP00000358854	0	0	0	0	0.180	0.983	0.900	0.848	0.999
TAF1L	TAF5	1861354	1855115	9606.ENSP00000418379	9606.ENSP00000358854	0	0	0	0	0.254	0.989	0.900	0.570	0.999
TAF2	TAF7	1856824	1849570	9606.ENSP00000367406	9606.ENSP00000312709	0	0	0	0	0.153	0.984	0.900	0.619	0.999
SNRPD2	SNRNP200	1852586	1849929	9606.ENSP00000342374	9606.ENSP00000317123	0	0	0	0	0	0.992	0.900	0.451	0.999
CDC5L	XAB2	1855491	1853674	9606.ENSP00000360532	9606.ENSP00000351137	0	0	0	0	0.454	0.956	0.900	0.834	0.999
SNRPE	PRPF4	1860230	1856059	9606.ENSP00000400591	9606.ENSP00000363313	0	0	0	0	0.109	0.989	0.900	0.089	0.999
